Subzone,YEAR_WEEK,SUB_YEAR_WEEK,All_comp,FalseAlarm_comp,Arrest_comp,Cleared_comp,NoContact_comp,NoReport_comp,Resolved_comp,Filed_comp,Calls_comp,BurgAlarm_comp,Suspicious_comp,Shots_comp,Intox_comp,Drugs_comp,Assault_comp,Armed_comp,Disturb_comp,Fireworks_comp,Noise_comp,Stalking_comp,PredictedBurg,ActualBurg,BurgStatus,BurgStatus2
ZONE7C,2009_13,2009_13_ZONE7C,39,18,0,0,3,0,3,6,39,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE7D,2009_13,2009_13_ZONE7D,3,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ZONE1A,2009_14,2009_14_ZONE1A,217,14,14,7,42,42,21,49,224,14,28,14,7,0,14,0,35,0,21,7,4,1,1,0
ZONE1B,2009_14,2009_14_ZONE1B,171,9,9,0,36,9,27,27,171,27,36,0,9,9,0,0,36,0,36,0,1,3,1,1
ZONE1C,2009_14,2009_14_ZONE1C,380,70,10,10,40,40,30,90,400,60,30,0,0,30,20,0,40,0,40,0,1,4,1,1
ZONE1D,2009_14,2009_14_ZONE1D,288,45,18,0,9,54,45,63,288,45,36,0,9,9,0,9,36,0,18,0,3,3,1,1
ZONE2A,2009_14,2009_14_ZONE2A,76,16,4,4,12,0,8,16,76,16,8,0,0,0,0,8,0,0,4,0,1,0,0,0
ZONE2B,2009_14,2009_14_ZONE2B,3,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ZONE2D,2009_14,2009_14_ZONE2D,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3B,2009_14,2009_14_ZONE3B,6,2,0,0,0,2,0,0,8,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0
ZONE3C,2009_14,2009_14_ZONE3C,108,24,6,0,12,12,24,18,108,24,6,6,0,0,0,0,12,0,18,0,0,2,1,1
ZONE3D,2009_14,2009_14_ZONE3D,77,0,7,14,7,0,7,35,84,28,0,0,0,0,0,0,0,0,7,0,0,5,1,1
ZONE3E,2009_14,2009_14_ZONE3E,444,36,18,6,90,54,48,54,480,42,54,0,30,0,12,6,18,0,132,0,7,5,1,1
ZONE4B,2009_14,2009_14_ZONE4B,5,1,0,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ZONE4C,2009_14,2009_14_ZONE4C,96,24,4,0,4,24,20,16,96,20,20,0,0,0,0,0,20,0,0,0,0,0,0,0
ZONE5A,2009_14,2009_14_ZONE5A,85,10,5,5,5,15,10,30,85,30,0,0,0,0,0,0,10,0,15,0,0,1,1,0
ZONE5B,2009_14,2009_14_ZONE5B,294,18,24,0,54,66,12,72,318,24,78,0,6,6,12,0,30,0,24,0,1,2,1,1
ZONE5C,2009_14,2009_14_ZONE5C,75,10,5,0,0,30,5,20,75,15,10,0,0,0,0,0,10,0,10,0,0,3,1,1
ZONE5D,2009_14,2009_14_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_14,2009_14_ZONE6A,48,8,0,0,2,14,4,16,48,18,4,0,2,2,0,0,0,0,2,0,0,0,0,0
ZONE6B,2009_14,2009_14_ZONE6B,57,18,3,0,6,6,9,0,60,0,6,0,3,3,0,0,0,0,12,0,0,0,0,0
ZONE6C,2009_14,2009_14_ZONE6C,296,24,8,8,56,64,24,48,328,40,56,0,24,8,8,0,8,0,40,0,0,1,1,0
ZONE7B,2009_14,2009_14_ZONE7B,58,6,2,0,10,12,4,12,58,4,8,2,0,0,0,0,4,0,16,0,0,1,1,0
ZONE7C,2009_14,2009_14_ZONE7C,12,6,0,0,0,0,3,0,12,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
ZONE7D,2009_14,2009_14_ZONE7D,6,3,0,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_15,2009_15_ZONE1A,217,14,7,14,28,91,14,35,224,21,14,0,14,7,28,0,21,0,14,0,0,4,1,1
ZONE1B,2009_15,2009_15_ZONE1B,153,9,0,9,36,36,27,27,162,27,27,0,0,0,0,9,18,0,27,0,0,1,1,0
ZONE1C,2009_15,2009_15_ZONE1C,320,40,20,0,40,60,30,90,330,30,50,0,0,30,10,20,30,0,30,10,2,1,1,0
ZONE1D,2009_15,2009_15_ZONE1D,396,36,18,0,63,36,36,99,423,36,27,0,0,0,9,9,81,0,45,18,2,3,1,1
ZONE2A,2009_15,2009_15_ZONE2A,64,28,0,0,8,12,0,12,64,4,8,4,0,4,0,0,0,0,0,0,0,1,1,0
ZONE2B,2009_15,2009_15_ZONE2B,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_15,2009_15_ZONE2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3B,2009_15,2009_15_ZONE3B,18,4,0,0,4,4,0,2,18,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0
ZONE3C,2009_15,2009_15_ZONE3C,138,54,6,0,24,18,6,6,138,6,18,0,6,0,0,0,24,0,12,0,0,0,0,0
ZONE3D,2009_15,2009_15_ZONE3D,91,0,0,0,21,28,14,14,91,0,0,0,0,0,0,7,0,0,21,0,0,0,0,0
ZONE3E,2009_15,2009_15_ZONE3E,408,30,6,6,48,90,84,78,432,84,24,0,6,6,6,0,6,0,120,12,8,7,1,1
ZONE4B,2009_15,2009_15_ZONE4B,18,2,0,1,1,5,3,3,19,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0
ZONE4C,2009_15,2009_15_ZONE4C,92,36,4,0,12,24,0,8,92,4,12,0,0,0,4,0,8,0,0,0,1,0,0,0
ZONE5A,2009_15,2009_15_ZONE5A,135,0,5,15,20,5,10,50,140,65,15,0,0,0,0,0,5,0,20,5,0,0,0,0
ZONE5B,2009_15,2009_15_ZONE5B,234,0,12,6,66,42,18,36,234,12,48,6,0,6,0,0,12,0,36,0,3,1,1,0
ZONE5C,2009_15,2009_15_ZONE5C,20,5,0,0,0,5,0,5,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ZONE5D,2009_15,2009_15_ZONE5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE6A,2009_15,2009_15_ZONE6A,52,20,0,0,2,8,4,6,52,2,2,0,0,0,0,0,0,0,4,0,2,0,0,0
ZONE6B,2009_15,2009_15_ZONE6B,93,27,0,0,18,3,12,3,102,0,3,3,0,0,0,0,12,0,15,0,0,0,0,0
ZONE6C,2009_15,2009_15_ZONE6C,248,56,0,0,24,64,48,16,272,8,48,0,0,0,8,0,16,0,16,0,2,0,0,0
ZONE7B,2009_15,2009_15_ZONE7B,38,0,0,0,8,8,8,0,44,4,2,4,0,0,0,0,8,0,10,0,0,0,0,0
ZONE7C,2009_15,2009_15_ZONE7C,12,3,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZONE7D,2009_15,2009_15_ZONE7D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE1A,2009_16,2009_16_ZONE1A,182,7,21,0,42,21,14,14,203,0,42,7,21,7,0,0,21,0,7,7,1,0,0,0
ZONE1B,2009_16,2009_16_ZONE1B,207,9,9,0,72,18,36,9,225,0,54,0,9,27,0,0,9,0,36,9,0,0,0,0
ZONE1C,2009_16,2009_16_ZONE1C,270,40,20,20,40,50,20,50,270,40,30,10,0,20,0,0,10,0,20,0,1,2,1,1
ZONE1D,2009_16,2009_16_ZONE1D,369,27,27,0,54,81,54,27,387,27,18,0,18,9,9,0,36,0,63,0,3,2,1,1
ZONE2A,2009_16,2009_16_ZONE2A,68,24,0,0,12,12,8,8,68,0,4,0,0,4,0,0,8,0,0,4,0,0,0,0
ZONE2B,2009_16,2009_16_ZONE2B,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE2D,2009_16,2009_16_ZONE2D,4,1,1,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
ZONE3B,2009_16,2009_16_ZONE3B,4,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONE3C,2009_16,2009_16_ZONE3C,126,30,6,0,12,42,6,12,126,6,12,0,0,0,12,0,12,0,18,6,5,0,0,0
ZONE3D,2009_16,2009_16_ZONE3D,63,14,7,0,14,14,14,0,63,7,7,0,0,0,14,7,0,0,0,0,3,0,0,0
